Cocktail,strGlass,strIBA,Ingredients,Preparation,Notes
Bird on a Wire,N/A,,"1.5 oz Pink Pigeon Rum, .5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Peychaud's Bitters, .5 oz Luxardo Maraschino Liqueur",Stir ingredients together and strain into an absinthe-rinsed coupe. Garnish with a lemon twist/peel.,
Bird to Buck,N/A,,"1 1/2 part Pink Pigeon Rum, 1/2 part Benedictine, 1/4 part Orgeat syrup, 1/2 part Lime,  part Fee Brothers Whiskey Barrel Bitters",Shake fine and strain on crushed ice. Top with Strong Ginger Beer.,
Bitter Valencia,Nick & Nora,,".75 oz Luxardo Bitter Bianco, .75 oz Gin, .75 oz Clarified Milk*, 2 dash Orange Bitters, 4 drops Vanilla","Build in a mixing glass. Add ice. Stir to dilute. Strain into a Nick & Nora glass. Garnish with an orange twist.

*Clarified Milk:
-- 1 C Whole Milk
-- .5 oz Lemon Juice

Heat milk to just before a simmer, then add lemon juice. Lightly stir to break the solid from the whey. Let chill for 5 mins to allow the solids to properly separate. Coffee strain twice for clarity.",
Black Jam,N/A,,"1.5 oz Luxardo Fernet, .75 oz Honey syrup, .75 oz Fresh lemon juice, 4 oz Tonic water","Shake the first three ingredients with ice then strain into a Collins glass and fill up with tonic water, stir and serve.",
Blind Luck,Martini,,"1 oz Luxardo Bitter Bianco, 2.5 oz Old Tom Gin, 2 bsp Real Lemon Juice, 2 bsp Strawberry-Raspberry Simple Syrup*","Hard vigorous shake with high density ice for 5-6 seconds. Hawthorne and fine strain into a chilled martini glass. Garnish with a mint sprig spanked and lightly rubbed around the edge of the glass. Raspberry garnish and mint sprig attached to the raspberry. Channel zest lemon bath over the glass.

*Strawberry-Raspberry Turbinado ""Sugar in the Raw"" Simple Syrup:
-- 2 C Water
-- 2 C Sugar in the Raw Turbinado Sugar
-- 15 Raspberries
-- 3 Strawberries, quartered
-- 3 Mint Leaves

As the water boils, slowly add sugar a few spoon fulls at a time and whisk vigorously into the boiling water until all 2 cups have been dissolved. Continue to keep on high heat for 5 mins.
Then take raspberries, strawberries, and mint leaves and macerate all components together and add into the boiling simple syrup.
Reduce heat to low-medium heat for the next 15 mins.
After that allow simple syrup to cool down and rest for additional 15 mins. 
Double strain the simple syrup through fine strainers until all fruit, seeds and mint leaves are strained out.  Allow to cool.",
Blood & Sand,Coupe,,".75 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .75 oz Orange Juice",Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into coupe glass. Flame orange zest over the top of the glass.,
Bloody Fernet,N/A,,"1 oz Luxardo Fernet, .75 oz Luxardo Maraschino Liqueur, 2 scoop Blood orange sorbet",Pour the ingredients in a blender and blend until smooth. Serve in a cocktail glass or coupe.,
Bloody Swede,N/A,,"2 oz Karlsson's Gold Vodka, 2 oz Bloody mix*, 1  Caper berry, 1  Celery stalk, 1  Cherry tomato, 1  Pepperoncini, 1  Pickled okra, 1  Cocktail onion, 1  Pipparas Pepper, 1  Lemon slice, 1  Jalapeno stuffed olive",Combine all ingredients in a large pitcher and mix well. Store in fridge over night to let all the flavors meld together.,"*Bloody Mary Mix (yield- about .75 of a gallon):

Ingredients
- 64 oz. V8 Vegetable juice
- 2 Tbsp. Dijon mustard
- 4 Tbsp. Worcestershire sauce
- 3 Tbsp. prepared horseradish
- 2 Tbsp. Cholula hot sauce
- 2.5 oz. fresh lemon juice
- 1.5 oz.fresh lime juice
- 2 Tbsp. Pickled okra brine
- 1 tsp. Ground celery seed
- 2 tsp. Fresh ground black pepper
- 2 tsp. Kosher salt
- 2 tsp. Hipster dust"
Blue 88,Cocktail Glass,,"1.5 oz No.3 London Dry Gin, .25 oz Lemon Juice, .25 oz Pages Elderflower Syrup, .25 oz Tempus Fugit Liqueur de Violettes, .25 oz Luxardo Maraschino Liqueur",Shake well with lots of ice. Strain into cocktail glass.,
Boko Buku,Highball Glass,,"1.5 oz Mezcal, .75 oz Don Ciccio & Figli Concerto, .125 oz Vanilla Marinade, 8 dash Mole Bitters",Combine all ingredients in a shaker tin and shake vigorously. Double strain with a fine mesh strainer into a highball glass.,
Bon Voyage Pisco Punch,Punch Bowl,,"1500 ml BarSol Selecto Italia Pisco, 750 ml Lemon Juice, 750 ml Pineapple Gomme Syrup*, .5 oz Fee Bros Lemon Bitters, 1 float Old Vine Zin","*Pineapple Gomme: 
Mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. Then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. Then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. A few hours would work also if you don't have that much time. However, the more time, the more pineapple infusion takes place. When it's ready, strain into another mason jar or bottle, and it's ready to go.",
Boomin' Granny,Champagne Flute,,"1.5 oz H by HINE, 1 oz Granny Smith Apple Juice, .5 oz Fresh Lime Juice, .5 oz Acacia Honey Syrup,  top Sparkling Wine",Shake with ice and fine strain into a champagne flute. Top with sparkling wine and garnish with Granny Smith Apple fan.,
Bourbon Crusta,Vintage Glass,,"2 oz Bourbon, .25 oz Orchard Syrup, .25 oz Lemon Juice, 1 bsp Luxardo Triplum (Triple Sec), 1 bsp Luxardo Maraschino Liqueur, 3 dash Boker’s Bitters","Stir with pebble ice, strain into rimmed vintage glass.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Brazilian Mai Tai,Bucket,,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 3 oz Mai Tai Mix, 1 splash Soda Water, 1 float English Harbour Rum","Pour all ingredients and shake in tin. Pour into bucket. Top with rum float, then garnish.",
Brazilian Mule Punch,N/A,,"2 part Ypioca Brasilizar Cachaca Prata Reserva Especial, 1 part Fresh Lime Juice, 1 part Ancho Chile-Infused Simple Syrup, 1 float Ginger Beer, 2 dash Angostura Bitters","Punch Preparation Instructions:
Combine Ypioca, lime and syrup in bowl. Top with ginger beer and Angostura bitters* (amounts will depend on size of punch and number of anticipated servings). Garnish with thin-sliced dried ancho chiles and lime wheels to float. 

*You can optionally skip adding Angostura in punch and instead add a dash or 2 to each individual cocktail as served.


Individual Cocktail Preparation Instructions:
Combine ingredients exactly the same way as a traditional Moscow Mule over crushed ice. Garnish with dash or 2 bitters and ancho chile slices. Mint is an optional garnish.","""Fun little twist on a Moscow Mule."" - Lauren Sanchez"
Brisa del Sur,N/A,,"1.5 oz BarSol Selecto Italia Pisco, .5 oz Rocoto passion fruit reduction, .5 oz Fresh lime juice, .5 oz Simple syrup",Top with Grapefruit soda. Shake and strain into ice filled glass.,Served at the 7 Pisco Brands: 14 Cocktails
Bubbleliciously Delicious,N/A,,".5 oz Luxardo Fernet, 1.5 oz Luxardo Triplum (Triple Sec), 1 dash Angostura bitters, 2 slices Satsuma slices, 2 oz Sioux City Sarsparilla Soda",Serve cold and garnish with a scoop of vanilla bean ice cream swirled with Luxardo Maraschino Cherry Juice.,
Bubbly Bird,Champagne Flute,,"1 oz Pink Pigeon Rum, 1 fill Champagne, 1 dash Angostura bitters, 1 dash Peach bitters, 1 dash Luxardo Fernet",Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.,
Buccaneer,Coupe,,"2 oz Junipero Gin, .5 oz Campari, .5 oz Velvet Falernum, 1 oz Lime Juice, .5 oz Simple Syrup, 3 large chunks Pineapple",Muddle the pineapple adding more or less simple syrup as needed and depending on sweetness of the pineapple. Add all other ingredients. Give the mixture a hard shake. Double strain into chilled coupe.,
Buenaventura,Cocktail Glass,,".75 oz BarSol Primero Quebranta Pisco, .75 oz El Tesoro Reposado Tequila, .5 oz Grüner Veltliner, .5 oz Lime, .25 oz Pineapple Gum, 1 bsp Sweet Marmalade",Combine all ingredients. Shake and strain into cocktail glass. Garnish with an orange peel.,
Bunny Poison,Cocktail Glass,,"2 oz Rhubarb Cucumber & Mint-Infused Junipero Gin, .75 oz Lemon Juice, .75 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Rhubarb Juice, .5 oz Grapefruit Juice, .5 oz Rhubarb Syrup, 2 dash Fee Brothers Celery Bitters","Combine all ingredients in Perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (For home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.)
Spray with atomized Old Tom Gin.
Garnish with cucumber peel or candied rhubarb slice.

*Rhubarb Cucumber & Mint-Infused Junipero Gin:
-- 1 bottle Junipero Gin
-- 1 qt Chopped Rhubarb
-- 1 Chopped Large English Cucumber
-- .5 Bunch (15g) Fresh Mint (with stems)

Combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (For home use, combine all ingredients in plastic container and let rest for one week.)

*Rhubarb Syrup:
Juice 1 qt (8-10 Stalks)
Add to 1 qt of unbleached Cane sugar in saucepan and bring to simmer.
Remove from heat, allow to cool and strain in Chinoise.",
Bushido Cocktail,Cocktail Glass,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Pedro Ximenez Sherry, 2 dash Angostura Bitters",Stir ingredients and strain into cocktail glass. Garnish with Luxardo Cherry.,"This cocktail is meant to be spirit forward but clean allowing the Nikka to shine through and the sherry to push the more round flavors of the whisky. Bushido translates to ""the way of the warrior"" according to the Japanese Code of Honor."
Buster Crusta,Coupe,,"2 oz H by HINE, 1 oz Lemon Juice, .75 oz The Genuine Curacao Liqueur Orange, .5 oz Luxardo Maraschino Liqueur, .5 oz Small Hand Foods Gum Syrup, 1 bsp Luxardo Fernet","Shake, fine strain into chilled frosted coupe, float Fernet.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Buzzard's Bay,Rocks Glass,,"2 part No.3 London Dry Gin, .5 part Real Cranberry Juice, .25 part Luxardo Fernet, .5 part Lime juice, 1.5 part Puer Black Tea",Build and pour in punch bowl over large ice block.,
Cafe Creole,N/A,,"1.5 oz Pink Pigeon Rum, 1 oz Luxardo Espresso Italian Liqueur, 1.5 oz Heavy cream, .75 oz Simple syrup","In one shaker, mix heavy cream and simple syrup and dry shake vigorously until it's whipped.
In another, shake Pink Pigeon Rum and Luxardo Espresso with ice.  Pour into a coupe, and then carefully top with the cream.  It should layer perfectly.  The vanilla complexity of the rum pairs awesomely with coffee and cream.
",
Caipirinha,N/A,,"4 pieces Lime, 1-2 Tbsp Sugar, 1 1/2 oz Ypiòca",Cut a lime in 4 pieces and put them in a glass. Add 1-2 tablespoons of sugar and crush with a pestle. Add Ypiòca. Fill with crushed ice. Stir well and enjoy!,
California Aurora,N/A,,"1.5 oz Luxardo Aperitivo, .5 oz Luxardo Apricot Liqueur, .5 oz Honey syrup, .75 oz Fresh lemon juice, 4 dash California Poppy Oil, 1 float Anchor California Lager, 6  Fresh Sage leaves",,
California's Callin',Collins,,"1.5 oz Junipero Gin, .5 oz Luxardo Maraschino Liqueur, 1 oz Grapefruit Juice, .75 oz Lemon Juice, 1 dash Tempus Fugit Abbott's Bitters,  to fill Anchor California Lager","Combine Gin, Maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. Strain over fresh ice into a Collins glass, top with the California Lager, and garnish with the grapefruit peel.",
Canary vs. the Coal Mine,Old Fashioned Glass,,".5 oz Old Forester Bonded Bourbon, .5 oz H by HINE, 1 oz Rock & Rye, 1 oz Cocchi Americano Rosa,   Activated Charcoal",Stir and strain into an old fashioned glass with a large ice cube.,
Cap't of the Seven Seas,Lager,,"2 oz Ypioca Brasilizar Cachaca Ouro Reserva Especial, 1 oz Jalapeno-Orange Simple Syrup, 1 oz Coconut Milk, 4 dash Orange Flower Water, 9 drops Mole Bitters",Combine all ingredients in a shaker tin and shake vigorously. Double strain using a fine mesh strainer. Serve in a lager glass over ice.,
Carrier Pigeon (an Airmail with Pink Pigeon),Champagne Flute,,"1 oz Pink Pigeon Rum, .5 oz Lime juice, .5 oz Honey","Short shake-strain into champagne flute- top with champagne. 
Drop a Luxardo cherry into the flute.
",
Champagne Sidecar,N/A,,".75 oz H by HINE, .75 oz Luxardo Triplum (Triple Sec), .5 oz Lemon juice, .25 oz Simple syrup, 1 oz Champagne",,
Champs Élysées,Coupe,,"2 oz H by HINE, .75 oz Lemon juice, .5 oz Green Chartreuse, .25 oz Simple syrup, 2 dash Angostura bitters",Shake with intent. Double strain in coupe. Garnish with lemon wheel.,
Chapman Cobbler,Old Fashioned Glass,,"1 oz Applejack, 1 oz Amontillado Sherry, .75 oz Orgeat, .75 oz Fresh Lemon Juice, 1 bsp Tempus Fugit Creme de Noyaux",Combine all ingredients in a shaker tin filled with crushed ice. Flash-shake and dump into a double old fashioned glass. Garnish.,Photo credit: Allison Webber
Charente Royale,Champagne Flute,,"1.5 oz H by HINE, .5 oz Elderflower Liqueur, 2 dash Absinthe,  top Sparkling Wine",Combine all ingredients except sparkling wine in a shaker. Add ice and shake until chilled through. Double strain into a champagne flute and garnish with an orange twist.,
Château Montifaud Creation,N/A,,"1.5 oz Chateau de Montifaud Cognac VS, 1 oz Lemon Juice, .25 oz Orgeat (Almond) Syrup, .25 oz Triple Sec,  top Lemonade","Pour the Cognac and lemon juice into the glass and then add orgeat syrup; fill with ices cubes and mix with a spoon. At the end, add lemonade and lemon peel.",
Château Montifaud Lady Touch Triple Sec,N/A,,"1.5 oz Chateau de Montifaud Reserve Speciale Michel Vallet, .75 oz Triple Sec, 1 oz Lemon Juice, 1 oz Sugar Syrup, 8  Fresh Mint,   Ice Cubes",Pour the ingredients in the shaker. Close and shake well until frosted. Strain into the glass. Garnish with fresh mint.,
Château Montifaud on Mint,N/A,,"1 coffee spoon Sugar Syrup, 10  Fresh Mint, .25  Sliced Green Lemon, 1 oz Chateau de Montifaud Cognac VSOP, .75 oz Lemon Juice, .75 oz Sparkling Water","Pour the sugar syrup into the glass and add fresh mint and green lemon. Lightly crush and add ice cubes, Cognac, lemon juice and sparkling water. Mix with a spoon and serve with a straw.",
Château Montifaud on the Rocks,N/A,,"1.5 oz Chateau de Montifaud Cognac XO, 3  Ice Cubes",Pour the Cognac into the glass and add ice cubes. Perceive the aromas that are released as a summer rain that reveals the secrets of the nature...,
Château Montifaud Pink Love,N/A,,".75 oz Chateau de Montifaud XO Silver, .75 oz Sugar Syrup, .75 oz Lemon Juice, 3  Raspberries,  fill Champagne","Pour the Cognac, sugar syrup, lemon juice and 3 pressed raspberries into the shaker, then shake. Strain into the glass (using a cocktail strainer) and fill with chilled Champagne. Garnish with 3 raspberries.",
Cherries St. James,Cocktail Glass,,"1.5 oz No.3 London Dry Gin, .25 oz Lemon Juice, .25 oz Pages Elderflower Syrup, .25 oz Luxardo Sangue Morlacco Cherry Liqueur, .25 oz Luxardo Maraschino Liqueur",Shake well with lots of ice. Strain into cocktail glass.,
Cherry Bark Martinez,N/A,,"2 oz Old Tom Gin, .75 oz Carpano Antica, 1 spoon Luxardo Maraschino Liqueur, 1 dash Angostura bitters, 2 dash Bittercube cherry bark bitters",Stir and strain into stem. Garnish torched star anise and discarded lemon peel.,
Cherry Blossom Martini,Coupe,,"2 oz Karlsson's Gold Vodka, 1 oz Dolin Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 6 dash Celery Bitters",Stir with ice and strain into a chilled coupe. Garnish with a fresh cherry tree blossom.,
Cherry Champagne Cocktail,Coupe,,"4 oz Champagne or Prosecco, 1 oz Tart Cherry Juice, .5 oz Luxardo Maraschino Liqueur, 4 dash Mole Bitters, 1 bsp Luxardo Amaro Abano","Stir the cherry juice, Maraschino, bitters and Amaro in a mixing glass with ice. Strain into a cocktail coupe and top with Champagne. Garnish with a sprig of thyme.",
Cherry Old Fashioned,Rocks Glass,,".5 tsp Demerara Sugar, 1  Roasted Cherry, 2 oz Cherry-Infused Vodka, .25 tsp Amaro di Angostura, .25 tsp Luxardo Maraschino Liqueur, 5 dash Miracle Mile Forbidden Barrel Aged Bitters","Muddle sugar and 1 roasted cherry in a rocks glass until the sugar has dissolved; add vodka, Amaro, Maraschino, and bitters and stir. Add 1 large ice cube and garnish with half a roasted cherry and the tarragon.

Cherry-Infused Vodka:
- 1 cup pitted cherries, quartered
- 1 cup vodka
Combine cherries and vodka in a bottle; cover, and let sit to meld the flavors for 3-5 days.",http://www.saveur.com/old-fashioned-cherry-cocktail-recipe
