Cocktail Name,Glass,strIBA,Ingredients,Instructions
Peach Batida,N/A,,"3 oz Peach Juice, 1 1/2 oz Condensed milk, 1 1/2 oz Ypiòca , 1 Tbsp Sugar","Put 3 ounces of peach juice, 1 1/2 ounces of Ypiòca, 1 1/2 ounces of condensed milk and 1 tablespoon of sugar in a shaker. Add ice cubes, shake well and serve."
Peachy Keane,Old Fashioned Glass,,"1.5 oz Old Forester Bourbon, .5 oz King's Ginger Liqueur, .5 oz Giffard Crème de Pêche de Vigne, .5 oz Honey syrup (local honey cut 2:1 with water), .75 oz Lemon juice, 1  Egg white, 1 dash Angostura Bitters",Combine all ingredients except the bitters and dry shake. Add ice and shake again. Strain over fresh ice into a double old fashioned glass. Dash bitters over the top of the cocktail. Garnish with a dried peach and a piece of candied ginger.
Pear and Cranberry Fizz,Highball Glass,,"1.5 oz Karlsson's Gold Vodka, .5 oz Fresh Lemon Juice, 1 oz Rothman & Winter Orchard Pear Liqueur, .75 oz Cranberry Juice, 1 tincture Fee Brothers Cranberry Bitters, 10  Fresh Cranberries",In a Boston shaker combine and muddle the fresh lemon juice and cranberries. Add the remaining liquid ingredients except the club soda with hard ice and shake vigorously for 20 seconds pour directly into a highball add a little more ice to fill the glass and top with the club soda. Garnish with a few pear slices and fresh cranberries.
Peruvian Wish (Adapted),N/A,,"1.5 oz BarSol Pisco, .75 oz Luxardo Amaro Abano, .75 oz Luxardo Maraschino Liqueur","Stir ingredients in a mixing glass over an ice sphere(if available) then strain and serve into a chilled cocktail glass filled with the same ice sphere. Garnish with lemon balm and grapefruit peel.

"
Peter Pumpkin,N/A,,"1.5 oz Junipero Gin, .5 oz Orange Liquor, 1.5 oz House-made Spiced Pumpkin Puree, .5 oz Lemon Juice, .5 oz Ginger Syrup, 1  Egg White,  top Apple Cider","Combine all ingredients in a shaker, except the apple cider. Shake vigorously. Strain over ice. Top with apple cider. Garnish with shaved cinnamon and nutmeg."
Phad Thai,Rocks Glass,,"2 oz Karlsson's Gold Vodka, 1 oz Nigori sake (Unfiltered), .5 oz Fresh Shibori Yuzu juice, .5 oz Simple syrup (2:1 sugar water), .5 pc Thai chili, 4-5 sprigs Fresh cilantro (stems on)","In the small tin of a Boston shaker set, combine the cilantro sprigs, thai chili, yuzu juice, simple syrup and a small piece of ice. Muddle these ingredients well. Add the remaining liquid ingredients to the shaker with cracked ice and shake vigorously for 20 seconds. 
Double strain the cocktail over ice into a 13 oz. rocks glass. 
Garnish with the Thai chili piece and the cilantro sprig."
Phineas Flip,Highball Glass,,"2 oz English Harbour Rum, .75 oz King's Ginger Liqueur, 1 whole Egg",Shake vigorously. Strain into highball glass. Top with Ale. Grated nutmeg.
Picadilly,Coupe,,"1.5 oz No.3 London Dry Gin, .5 oz Pimms, 1 bsp Luxardo Amaretto di Saschira, 1 oz Fresh lime juice, .75 oz Simple syrup, 5 leaves Basil leaves","Combine ingredients into a mixing glass, add ice and shake until properly diluted. Double strain into a glass over fresh ice, garnish with a cucumber wheel."
Piedra de sol,N/A,,"1.5 oz Mezcal, .75 oz Montenegro Amaro Liquore Italiano, .75 oz Calisaya Liqueur, 2 dash Regans' Orange Bitters No. 6",Stir and garnish lemon peel.
Pina Del Este,Rocks Glass,,"1.5 oz Luxardo Amaretto di Saschira, 4  Lime wedges, 1  Pinapple wheel, .5 oz Gomme syrup, 1 float Pisco","Place the lime wedges and pinapple in a tumbler glass with gomme syrup and muddle briskly, then add ice and Amaretto. Stir well and serve with a float of Pisco."
Pineapple Express,Coupe,,"1 oz Charbay Ruby Red Grapefruit Vodka, 1 oz Vya Dry Vermouth, .75 oz Hophead Vodka, .25 oz Small Hand Foods Pineapple Gum Syrup",Stir with ice and strain into a chilled coupe. Garnish with a grapefruit twist.
Pink & Black,Collins,,"2 oz Pink Pigeon Rum, 3 oz Coca-Cola, .5 oz Lime Juice","Combine the Pink Pigeon, the cola, and the lime juice, in a tall Collins glass full of ice cubes."
Pink & Ginger,Collins,,"2 oz Pink Pigeon Rum, 3 oz Ginger Beer, .5 oz Lime Juice","Combine the Pink Pigeon, the ginger beer, and the lime juice, in a tall Collins glass full of ice cubes."
Pink Colada,Collins,,"2 oz Pink Pigeon Rum, 2 oz Pineapple Juice, 1.5 oz Cream of Coconut",Pour the ingredients into a cocktail shaker filled with ice. Shake well. Strain into a chilled cocktail or Collins glass.
Pink Mojito,N/A,,"2 oz Pink Pigeon Rum, .25 oz Simple syrup, 2 oz Cranberry juice, 1 fill Club soda,   Mint leaves, 1 whole Lime, juiced","To make simple syrup, mix equal parts hot water and sugar until sugar is dissolved. Place mint in bottom of glass. Add ice and remaining ingredients except club soda then stir. Top with club soda and garnish with a mint sprig."
Pink Pigeon Punch,Coupe,,"7 oz Pink Pigeon Rum, 1 oz Agave Syrup, 7 oz Watermelon, 2  Lemon Juice,  top Ginger Beer","Build in a large pitcher or punchbowl. Combine Pink Pigeon Rum, juice from 2 lemons and agave. Blend 7 oz. of fresh watermelon in a blender and puree to mixture. Add a generous amount of ice and stir. Top with ginger beer. Ladle or pour into coupe glasses."
Pink Punch,Pitcher,,"3 c Pink Pigeon Rum, 3 c Orange Juice, 3 c Pineapple Juice, 3 c Ginger Ale, .25 c Grenadine, 1  Fresh-Squeezed Lime Juice","Mix all ingredients in a large pitcher, add ice, and enjoy!"
Pink Ribbon,Champagne Flute,,"1 cube Brown Sugar, soaked in Peychaud's Bitters, .75 oz Pink Pigeon Rum,  fill Champagne",Brown sugar cube soaked in Peychaud’s Bitters. Put soaked sugar cube in glass first. Pour .75 oz Pink Pigeon rum into flute over sugar cube. Fill remainder of the glass with champagne. Garnish with lemon twist.
Pisco Punch,Wine Glass,,"2 oz BarSol Selecto Italia Pisco, 2 oz Pineapple Juice, 1 oz Fresh Lime Juice, 1 oz Simple Syrup",Add all liquid ingredients into a cocktail shaker with ice. Shake well and strain into an ice filled white wine glass. Garnish by adding pineapple chunks and Luxardo Cherry.
Pisco Punch (Adaptation by The Commissary),Coupe,,"2 oz BarSol Selecto Italia Pisco, 1 oz Lemon Juice, .75 oz Small Hand Foods Pineapple Gum Syrup, .5 oz Falernum",Shake all ingredients with ice and strain into a coupe glass. Nutmeg on top for garnish.
Pisco Punch (Adaptation by The Comstock Saloon),Flip Glass,,"1.5 oz BarSol Selecto Italia Pisco, .75 oz Small Hand Foods Pineapple Gum Syrup, .75 oz Lemon Juice, 3 dash Kaffir Tincture","Shake, strain into a chilled flip glass with one cube. Garnish with lemon peel."
Pisco Sour,Cocktail glass,New Era Drinks,"Pisco,Lemon juice,Sugar,Ice","Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]"
Pisco Sour,N/A,,"2 oz BarSol Primero Quebranta Pisco, 1 oz Fresh lime juice, 1 oz Simple syrup, .5 oz Egg white, 3 dash Angostura bitters","First, dry shake all ingredients. Then, shake all ingredients vigorous with ice and strain into a cocktail glass. Garnish with 2-3 drops of Angostura bitters on top of the foam."
Pistachio Follies,N/A,,"1 oz Luxardo Amaro Abano, 1 oz Aged Rum, 1 oz Fresh cream(not whipped), .5 oz Pistachio syrup",Shake ingredients with ice then strain into a cocktail glass previously swirled with chocolate syrup and rimmed with ground pistachios.
Platonic Snuggle,Shorty Beer,,".5 oz H by HINE, .5 oz El Dorado 12 Year Old Rum, .5 oz Hamilton Black Jamaican Pot Still Rum, .5 oz Cinnamon Syrup, .5 oz Heavy Cream, 1 tsp St. Elizabeth Allspice Dram, 1 whole Egg,  top Founders Porter","Dry shake, strain, top with porter."
Playa Matalan (Mezcal Negroni),N/A,,"2 oz Mezcal, .75 oz Tempus Fugit Alessio Vermouth Chinato, .75 oz Tempus Fugit Gran Classico Bitter, 2 dash Tempus Fugit Abbott's Bitters",Stir over 1 large rock. Garnish with zest of an orange peel.
Polish Penance,Etched Rocks Glass,,"1.5 oz House-made Slivovitz (Plum Brandy), 1 oz Chamomile Tea-Infused Noilly Prat Dry Vermouth, .5 oz King's Ginger Liqueur, 3 dash Peychaud's Bitters",Stir and strain. Hoshizaki ice.
Pontchartrain Punch,N/A,,"1.25 oz Junipero Gin, .5 oz Fresh Lime Juice, .5 oz The Genuine Curacao Liqueur Blue, .25 oz Pages Elderflower Syrup",Shake all ingredients with lots of ice. Strain into serving glass. Top off with a splash of club soda.
Prata Punch,N/A,,"2 part Ypioca Brasilizar Cachaca Prata Reserva Especial, .5 part Lillet Rose, .5 part Guava Nectar, .25 part Fresh Lime Juice, .25 part Agave,  top Banfi Rosa Regale Sparkling Wine","For punch, combine Ypioca, Lillet Rose, guava nectar, lime and agave. Top with Rosa Regale sparkling and add sliced strawberries and thin-sliced lime wheels to float as garnish.

For individual cocktails, muddle 2-3 strawberry slices w/ agave and add Ypioca, guava and Lillet. Add ice and shake to chill/mix. Strain over ice and top with champagne. Garnish with thin-sliced strawberry. Remember, this is an aperitif style so it's meant to be refreshing but not necessarily sweet."
Prickly Pear Margarita,Margarita Glass,,"2 oz Chinaco Blanco Tequila, 1 oz Lime Juice, .5 oz Prickly Pear Puree, .5 oz Agave",Mint salt on the rim. Garnish with mint sprig.
Primo Carnera,Martini,,"45 ml Luxardo Sangue Morlacco Cherry Liqueur, 15 ml Luxardo Triplum (Triple Sec), 20 ml Luxardo Liquore St. Antonio","Shake and strain into a martini glass, spray some absinthe on the glass."
Prince of Humbugs,Collins,,"2 oz Hirsch Small Batch Reserve Bourbon, .75 oz Luxardo Bitter, .5 oz Cold Blue Bottle Coffee, .25 oz Luxardo Anisette, 2 dash Peychaud's Bitters",Build in collins glass. Top with soda. Orange peel.
Profundo,N/A,,"1.25 oz Hirsch Small Batch Reserve Bourbon, 1.25 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Chocolate Liqueur, 1 oz Heavy cream flavored with Hum Liqueur",Pour the liquor ingredients over ice and top with half inch (about one centimeter) layer of lightly whipped cream shaken with Hum Liqueur.
Pumpkin & Pecan,N/A,,"2 oz H by HINE, .5 oz Toasted Pecan Syrup, .75 oz Lemon Juice, .5 oz Cynar, 1 bsp Spiced Pumpkin Butter, 2 dash Cinnamon Tincture",Shake. Double strain. King cube. Orange peel garnish
Radice Amara,Coupe,,"1.5 oz Luxardo Bitter Bianco, 1 oz Reisetbauer Carrot Eau De Vie, .75 oz Genevieve Gin","Combine ingredients in mixing glass, and stir with ice to dilution. Strain into a coupe cocktail glass. Garnish with a trimmed carrot ribbon."
Raspberry Batida,Highball Glass,,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1 oz Sweetened Condensed Coconut Milk, 1 oz Almond Milk, .5 oz Briottet Creme de Framboise (Raspberry), .5 oz Tempus Fugit Creme de Cacao, 1 handful Fresh Raspberries, 2 dash Rubarb Bitters","Place all ingredients in a mixing tin, muddle fresh raspberries, add ice and shake until tin is frosty. Strain into a chilled highball glass. Garnish with orange wedge."
Red Bud Trail,Martini,,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Dry Vermouth, .25 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Angostura Bitters",Pour into shaker over ice and shake well. Serve straight up in a martini glass with an orange twist.
Red Letters,Martini,,".75 oz Bols Genever, .75 oz Luxardo Maraschino Liqueur, .75 oz Absinthe, .75 oz Lime Juice","Shake with ice, strain and pour into a chilled martini glass."
Redondo Beach,Rocks Glass,,"1.5 oz Chinaco Blanco Tequila, .25 oz F. Meyer Mirabelle (Yellow Plum), .5 oz Fino Sherry, .75 oz The Genuine Curacao Liqueur Blue, 2 oz Horchata, .5 oz Simple Syrup (2:1), .5 oz Lime Juice",Blend with ice.
Rhapsody in Red,Collins,,"1.5 oz Chinaco Blanco Tequila, 1 oz Wild Hibiscus Tea, .5 oz Fresh Lime Juice, .5 oz Agave Nectar,   Strawberries,  top Sparkling Water","Muddle strawberries in a shaker with agave nectar, add lime juice, hibiscus tea, and Chinaco Blanco. Top with sparkling water."
Rio De Janeiro Mule,Copper Mug,,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 1.5 oz Ginger Citrus Agave Blend, 5 oz Ginger Ale, 1 dash Aromatic Bitters","Pour ingredients into mug, fill with ice. top with ginger ale. Roll into tin. Roll back into mug. Garnish."
Rita's Song,Old Fashioned Glass,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz 15 YO Sherry, 2 dashes Dr. Adam's Boker's bitters, .25 oz Simple syrup","Build in old fashioned glass, stir and serve over large ice cube."
Rita's Song,N/A,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz 15 YO Sherry, 2 dash Dr. Adam's Boker's bitters, .25 oz Simple syrup",Serve in an old fashioned glass over a large ice cube.
Ritz Cocktail,Martini,,".75 oz Cognac, .5 oz Cointreau, .25 oz Luxardo Maraschino Liqueur, .25 oz Fresh Lemon Juice, 3 oz Champagne","Add all ingredients except the champagne to a mixing glass and fill with ice. Stir, and strain into a martini glass. Fill with champagne and garnish with a flamed orange peel."
Roasted Cherry Colada,Tiki Glass,,"2 oz White Rum, 1.75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Coconut Milk, 1 oz Fresh Lime Juice, .5 tsp Demerara Sugar, 10 dash Miracle Mile Forbidden Barrel Aged Bitters, 3  Roasted Cherries, 1 oz Black Rum, 1 tsp Everclear","In a blender, combine white rum, Luxardo, coconut milk, lime juice, sugar, bitters, 3 cherries, and 1 cup ice and purée until smooth; pour into a tiki glass and top with black rum. Place halved cherry, cut-side up, on top of cocktail and fill with Everclear before lighting cherry on fire."
Root Down,Rocks Glass,,"2 oz Karlsson's Gold Vodka (Root-Infused), .5 oz Cardamaro, .5 oz Fresh lemon juice, .5 oz Grade-A dark maple syrup, 1.5 oz Fenteman's ginger beer, 4 inch Whole licorice root",In a Boston shaker combine all liquid ingredients except the ginger beer with whole hard ice and shake vigorously for 30 seconds. Double strain the cocktail over whole hard ice cubes in a 13 oz. rocks glass and top with the ginger beer. Garnish with the licorice root.
Rose Sangria,Wine Glass,,"1.5 oz Pink Pigeon Rum, .5 oz Fresh Lemon Juice, .75 oz Honey Syrup (1:1 honey & water), 1 oz Pomegranate Juice, 3 oz Rose Wine,   Cinnamon, grated,   Nutmeg, grated,   Cherries,   Strawberries,   Watermelon, cube","Combine all ingredients in a wine glass, stir to mix. Add ice and enjoy.  
Convert ounces to cups to make a larger pitcher for you and your guests."
Rothes Julep,Rocks Glass,,"2 oz Glenrothes Vintage Reserve,   Simple Syrup, 5  Mint Leaves",Pour ingredients into cocktail shaker and shake vigorously with ice. Strain into a rocks glass over crushed ice with a mint sprig garnish.
Rothes Roy,N/A,,"2 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 3 dash Angostura Bitters","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a chilled cocktail glass. Garnish with a Luxardo Cherry."
Round Pond Aperitif,Coupe,,"1.5 oz Luxardo Aperitivo, .5 oz Round Pond Blood Orange Syrup, .5 oz Fresh Lemon Juice, 1 splash Sparkling Wine","Combine all ingredients except soda in a shaker with ice, shake to combine. Pour into a coupe glass and garnish with a lemon peel."
Ruby Tuesday,Highball glass,,"Gin,Cranberry juice,Grenadine",Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.
Rudolph's Rose,Coupe,,"1.5 oz Christmas Spirit, .25 oz Luxardo Maraschino Liqueur, .5 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter",Combine all ingredients and stir with ice in a mixing glass. Strain into coupe glass and garnish with a Luxardo Cherry.
Sabotage,Rocks Glass,,"2 oz Breck Bourbon, .5 oz Dancing Pines Black Walnut Bourbon, .5 oz Punt e Mes, .25 oz King's Ginger Liqueur","Muddle sage and Thyme. Stirred, over ice in single rocks glass. Burnt orange, and thyme sprig to garnish."
Sade's Taboo,Coupe,,"2 oz H by HINE, .75 oz Cocchi Americano, .75 oz Dolin Rouge Vermouth, 1 dash Bittermens Hopped Grapefruit Bitters","Stir all the ingredients over ice, then strain into a coupe. No garnish."
Sahara Glowing Heart,Nick & Nora,,"1.5 oz Junipero Gin, .75 oz Apricot Eau-de-Vie, .25 oz Grenadine, 2 dash Lemon Bitters, 2 dash Absinthe","Combine all ingredients in a mixing glass, add ice and then stir. Strain into a Nick & Nora glass and garnish with a lemon twist."
Salty Swede,Old Fashioned Glass,,"2 oz Karlsson's Gold Vodka, 2 oz Fresh grapefruit juice, 1 oz Club soda, 1 tincture Grapefruit bitters",Combine the Karlsson's Gold Vodka and grapefruit in a shaker with ice. Shake for 15 seconds and strain over fresh ice in an old-fashioned glass that has a salted rim. Top the cocktail with the club soda.
San Fran Shandy,N/A,,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, 3 oz Breckle's Brown Ale, 1 oz Fresh Lemon Juice, .5 oz Honey Syrup, .5 oz Egg White, 2 dash Angostura Bitters","Combine Hophead, lemon juice, King's Ginger, honey syrup, egg white, and bitters in a shaker and dry shake to emulsify egg whites. Add ice and shake vigorously until proper dilution. Strain into a chilled fizz glass. Empty ice out of shakers and fill shaker with ale to create a froth. Pour this froth over the drink and garnish with half an orange wheel.
	
"
San Fran Soda,Pint Glass,,"1.25 oz Hophead Vodka, .5 oz Fresh Lime Juice,  splash Soda Water,  top Steam Beer","Pour over ice in a pint glass, then fill with steam beer. Garnish with a lemon wedge and a straw."
Santa Patricia,Highball Glass,,"1 oz Blanco Tequila, .5 oz Dry Curacao, .5 oz Luxardo Bitter, .75 oz Fresh Ruby Red Grapefruit Juice , .5 oz Cinnamon Syrup",Shake all ingredients very well with ice and strain over ice into a highball glass.
Sazerac,Old Fashioned Glass,,"0.5 oz Vieux Pontarlier Absinthe Francaise Superieure, 2 oz H by HINE, 3 dash Tempus Fugit Abbott's Bitters, 0.5 tsp Sugar","Rinse entire glass with absinthe, discard, if you must.
Stir with ice and strain into an old-fashion glass, garnish with lemon peel."
Scotch Joplin,Nick & Nora,,"2 oz Ardbeg Ten, .75 oz Luxardo Aperitivo, .5 oz The Genuine Curacao Liqueur Orange, 5 dash Orange Bitters","Stir, strain into a chilled Nick and Nora glass. Garnish with lemon twist."
See You T'Amaro,Small tumbler,,"1.5 oz Luxardo Amaro Abano, .5 oz Lemon juice, .25 oz Simple syrup, .5 oz Egg white, 1 dash Fee Bros Rhubarb bitters","Combine all ingredients in shaker. Dry shake for 10 seconds, add ice and shake for 30 seconds. Strain into small tumbler. Garnish with a sprinkle of grated nutmeg."
Seersucker Sunshine,Nick & Nora,,".75 oz Luxardo Bitter Bianco, 1.5 oz Seersucker Gin, .5 oz Lillet Blanc, 1.5 oz Sauternes, 2 dash Orange Blossom Water","Rinse the glass with Orange Blossom Water and pour cocktail. Shake Egg White, Sauternes and Lemon Juice vigorously dry for 25 seconds, then add ice, gin, Luxardo Bitter Bianco and Lillet Blanc, shake again for 10 seconds. Strain into Nick & Nora, garnish with a lemon wheel."
Shadowcat,Coupe,,"1 oz Luxardo Bitter Bianco, 1 oz Barr Hill Gin, .75 oz Falernum, 1 oz Topo Chico Mineral Water, 1 dash Lemon Bitters","Combine ingredients in a pint glass, stir with ice to chill. Double strain into a coupe glass. Garnish with mint and lemon wedge flag."
Shark Attack,Pitcher,,"Lemonade,Water,Vodka",Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
Short Round,Punch Bowl,,"5 oz Bacardi Superior Rum, 4 oz Chateau de Montifaud Pineau des Charentes Blanc, 3.5 oz Lemon Juice, 3.5 oz Velvet Falernum","Build all ingredients in a punch bowl and add ice, stir gently. Garnish with seasonal fruit and citrus wheels."
Short Round II,Large Antique Vintage Shaker,,"2 oz Avuá Prata Cachaça, 2 oz Bacardi Superior Rum, 3 oz Chateau de Montifaud Pineau des Charentes Rose, 2 oz Lime Juice, 1 oz Cannella Cinnamon Cordial, 2 oz Simple Syrup",Build & Stir. Hoshizaki Ice.
Sidecar,Coupe,,"2 oz HINE Rare VSOP, .75 oz Mathilde Orange XO Liqueur, .75 oz Lemon Juice, 1 tsp Demerara Syrup (2:1)",Shake. Strain into a coupe. Garnish with a lime twist.
Sidewinder,Coupe,,"2 oz H by HINE, .5 oz Apple Brandy, .25 oz Benedictine, .25 oz Yellow Chartreuse, 1 dash Vieux Pontarlier Absinthe Francaise Superieure, 1 dash Peychaud's Bitters","Stir all the ingredients over ice, then strain into a coupe. No garnish."
Simply Perfecto,Rocks Glass,,2 oz BarSol Perfecto Amor (Aperitif Wine),Pour Perfecto Amor over ice and garnish with an orange wheel.
Singapore Sling (1915 Recipe),Collins,,"1.5 oz No.3 London Dry Gin, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .25 oz Luxardo Triplum (Triple Sec), .25 oz Luxardo Fernet, 3 oz Pineapple Juice, .5 oz Fresh Lime Juice, 2 dash Bitters",Shake ingredients with ice then strain into an ice-filled collins or pilsner glass.
Sloe & Steady,Nick & Nora,,"1.5 oz C. Drouin Calvados Selection, .75 oz Spirit Works Sloe Gin, .5 oz Bonal, 4 drops Black Salt Tincture",Stir for about 20 seconds with ice and then Strain into a chilled Nick & Nora glass.
Smashing Great Pumpkins,Demitasse Glass,,"1.5 oz Pumpkin vodka, .75 oz New York Apple Whisky, .75 oz King's Ginger Liqueur, .5 oz Hot water",Steam in steaming tin. Pour in Demitasse glass. Top with heavy whipping cream and nutmeg.
Smoke On The Dock,Collins,,".75 oz Luxardo Fernet, .34 oz Mezcal, 1.5 oz Fresh lime sweet n' sour mix, 2 oz Pomegranate juice",Shake ingredients with ice then strain into a Collins glass.
Snow Bunny,Fizz Glass,,"1.5 oz Christmas Spirit, .5 oz King's Ginger Liqueur, .5 oz Lemon juice, .5 oz Honey syrup, .5 oz Egg white, 2 oz Ale, 3 drops Dale DeGroff's Pimento Aromatic Bitters","Combine all ingredients besides beer and bitters and dry shake without ice. Add ice and re-shake, double strain into a fizz glass and top with beer. Garnish with shaved nutmeg and 3 drops of bitters."
Soleo,N/A,,"1 oz Luxardo Limoncello, 1 oz Herbal Liqueur",Use an empty bottle of 750ml capacity and combine together 12 ounces - 360 ml of each of the two liqueurs and store in the freezer. Serve very cold in a small cordial glass without ice.
Solera Sidecar,Coupe,,"1.5 oz H by HINE, .5 oz Lustau East India Solera, .25 oz Grand Marnier, .25 oz Luxardo Amaretto di Saschira, .5 oz Lemon Juice, .25 oz Simple Syrup","Shake all the ingredients with ice, then strain into a coupe. No garnish."
SOMA Fizz,Collins,,"1.5 oz Junipero Gin, .5 oz Lemon juice, .75 oz Luxardo Triplum (Triple Sec), .75 oz Heavy Cream, 2 dash Orange Bitters, 2 oz Club Soda",Pour 2 oz. of Club Soda into a Collin’s Glass. Hard shake first fIve ingredients with ice for at 20 seconds. Slowly strain into the Collins glass. Garnish with an orange wedge.
Sorrentino,Rocks Glass,,"1 oz Luxardo Limoncello, 1 oz Luxardo Bitter, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 oz Club Soda,   Fresh Thyme","Place the thyme in a tumbler glass and muddle to release the oils, then add ice and ingredients, stir well and serve."
Sorriso (Adapted),Martini,,"1 oz No.3 London Dry Gin, 1 oz Pear flavored Vodka, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Sherry, 2 dash Bitters",Pour all ingredients in a mixing glass filled with ice. Stir well and strain into a chilled cocktail glass.
Space Age Pop,N/A,,"1 1/2 oz Chinaco Reposado, 1 oz Luxardo Amaro Abano, 1/2 oz Luxardo Maraschino Liqueur, 1/4 oz Fresh Lemon Juice",Serve on one big rock.
Spice and Stormy,N/A,,"1.5 oz Pink Pigeon Rum, .5 oz Simple syrup, .5 oz Lemon juice, .5 oz Luxardo Bitter, 1 float Ginger beer, 4 pieces Pineapple, 4 pieces Ginger root","Muddle pineapple and ginger root, lemon juice and simple syrup. Add rum. Shake well, over ice and top with ginger beer and Luxardo Bitter"
Spiced Marmalade,Coupe,,"2 oz Junipero Gin, 1 bsp Orange marmalade, .5 oz Lemon juice, 1 oz Orange juice, .25 oz Simple syrup, 2 dash Orange bitters, 4  Cloves torched & muddled","shake/2strain/coupe

garnish lemon twist"
Spring Cleanse,Chilled Glass,,"1  Half Small Cucumber, 1  Medium Carrot, 1  Green Apple, cored, 3-4  Kale Leaves, 1  Big Handful Spinach Leaves, 1  Small Hunk Ginger, .5-1 oz Pastis Prado","Juice the ingredients and pour into a chilled glass (do not use ice or the drink will lose body).

Top with Pastis Prado or absinthe and garnish with a sprig of mint."
Spring Forward,Champagne Flute,,"2 oz Old Tom Gin, .5 oz Noilly Prat Ambre Vermouth, .5 oz Pineapple Juice, .5 oz Lime Juice, .25 oz Rich Simple (2:1), .75 float Dry Sparkling Wine","Combine all ingredients, minus the sparkling wine, into a tin. Shake and double strain into a flute glass. Top with a float of sparkling wine. Garnish with an edible flower petal."
Stinger,N/A,,"1 part Tempus Fugit Creme de Menthe Glaciale, 3 part H by HINE",Shake or stir briskly and strain into a cocktail glass.
Stone Fruit Patch V1,N/A,,"1 oz Luxardo Maraschino Liqueur, .5 oz Peach Puree, .75 oz Lime Juice, 3  Raspberries",Muddle raspberries in mixing glass. Add remainder of ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with raspberry and mint.
Stone Fruit Patch V2,Coupe,,"1 oz Luxardo Maraschino Liqueur, .5 oz Peach Puree, .75 oz Lime Juice, 3  Raspberries, 1 oz Sparkling Wine",Muddle raspberries in mixing glass. Add remainder of ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a well chilled coupe. Top off with sparkling wine. Garnish with raspberry and mint.
Stranger in the Alps,Rocks Glass,,"rinse Eau de Vie, 1.5 oz Junipero Gin, 1 oz Carpano Antica, .75 oz Campari, .25 oz Braulio Amaro, 1 pinch Salt","Rinse a rocks glass with eau de vie. Combine remaining ingredients in a shaker with ice. Shake, and strain over fresh ice into a rocks glass. Garnish with a lemon pigtail."
Strike No.3,Old Fashioned Glass,,"2 oz No.3 London Dry Gin, .5 oz St. Germaine Elderflower Liqueur, .5 oz Orgeat Syrup, .5 oz Fresh Lemon Juice",Shake the ingredients with ice. Strain into an old fashioned glass. Garnish with a Luxardo Cherry.
Stroll Through the Park,Collins,,"2 oz BarSol Primero Quebranta Pisco, .5 oz Simple Syrup, .5 oz Orange Juice, .5 oz Lemon, 1 bsp El Guapo Tonic Syrup, 4 dash El Guapo Tonic Bitters, 3  Cucumber Slices, 2  Mint Sprig",Muddle mint and cucumber with the simple syrup in a shaker tin. Combine the remainder of the ingredients in the tin. Shake vigorously. Double strain with a fine mesh strainer into a collins glass. Fill with ice and garnish with a cucumber slice.
Swedish 75,Coupe,,"1 oz Karlsson's Gold Vodka, 1 oz Lemon curd (or a large bar spoon), 1.5 oz Brut Champagne","In a Boston shaker, combine the Karlsson's and the lemon curd with whole hard ice and shake vigorously for 30-40 seconds. Add the champagne to the shaker, stir until mixed well and double strain the cocktail into a 4.5 oz. coupe glass. Garnish the cocktail with a lemon twist making sure to release all the essential oils into the glass. Rub the entire rim with the twist before dropping the twist into the glass."
Swedish Nightingale,N/A,,"1.5 oz No.3 London Dry Gin, .5 oz Maurin Quina, .25 oz Pineapple Gomme Syrup, 1 bsp Peated Kola Nut Tincture, 2 dash Angostura Bitters",Stir. Strain. Lemon peel garnish.
Swedish Royal,Coupe,,"2 oz Karlsson's Gold Vodka, 1 oz Apricot brandy, .5 oz Dry vermouth, .5 oz Sweet vermouth",Combine all ingredients in a frozen mixing glass with hard ice and stir for 20 seconds. Strain into a frozen coupe glass.
